,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Pigr,Pigr,Pigr,Pigr,Pigr,Pigr,Gpam,Gpam,Gpam,Gpam,Gpam,Gpam,Acly,Acly,Acly,Acly,Acly,Acly
,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1
9,2854,269,5267,0.9138648735190522,0.35143455239502525,0.5076485236570615,14297,6325,15608,0.6932887207836291,0.4780805885303461,0.5659152532309457,3581,895,3567,0.8000446827524575,0.5009792949076665,0.6161390227116311,858,327,1761,0.7240506329113924,0.32760595647193586,0.4511041009463722
10,2958,280,5163,0.913526868437307,0.3642408570373107,0.520820494761863,14664,6553,15241,0.6911438940472263,0.49035278381541547,0.5736864754900044,3649,940,3499,0.7951623447374155,0.5104924454392837,0.6217943256368749,886,344,1733,0.7203252032520325,0.33829705994654446,0.4603793193037153
11,3076,301,5045,0.9108676339946699,0.37877108730451914,0.5350495738389286,15157,6902,14748,0.6871118364386418,0.5068383213509446,0.5833654068201062,3765,1000,3383,0.7901364113326338,0.5267207610520426,0.6320825988416016,918,366,1701,0.7149532710280374,0.35051546391752575,0.47040737893927753
12,3203,317,4918,0.9099431818181818,0.39440955547346385,0.5502963662915556,15612,7271,14293,0.6822532010662937,0.5220531683664938,0.5914980677426688,3866,1085,3282,0.7808523530599879,0.5408505875769446,0.6390610794280519,949,391,1670,0.7082089552238806,0.3623520427644139,0.479413993432685
13,3342,335,4779,0.9088931193908077,0.4115256741780569,0.5665367011357858,16072,7609,13833,0.6786875554241797,0.5374352115030931,0.5998581719105737,3994,1137,3154,0.7784057688559735,0.5587576944599888,0.6505415750468279,980,427,1639,0.6965174129353234,0.374188621611302,0.48683556880278184
14,3507,354,4614,0.9083139083139083,0.4318433690432213,0.585378067100651,16603,8000,13302,0.6748364020647889,0.5551914395586023,0.6091949805533133,4125,1219,3023,0.7718937125748503,0.5770844991606043,0.6604226705091258,1026,467,1593,0.6872069658405894,0.3917525773195876,0.49902723735408555
15,3614,379,4507,0.905083896819434,0.4450190863194188,0.5966650156843323,16975,8320,12930,0.6710812413520458,0.5676308309647217,0.615036231884058,4218,1300,2930,0.7644073939833272,0.5900951315053161,0.6660350544765514,1055,501,1564,0.6780205655526992,0.4028255059182894,0.5053892215568861
16,3730,417,4391,0.8994453822040029,0.4593030414973525,0.6080860776002609,17415,8743,12490,0.665761908402783,0.5823440896171209,0.6212653621818313,4297,1415,2851,0.7522759103641457,0.601147174034695,0.6682737169517885,1106,560,1513,0.6638655462184874,0.42229858724704084,0.5162193698949825
17,3985,477,4136,0.8930972658000896,0.4907031153798793,0.6333942620996583,18209,9425,11696,0.6589346457262792,0.6088948336398595,0.6329272319644068,4475,1598,2673,0.7368681047258356,0.6260492445439284,0.6769533318205884,1174,658,1445,0.6408296943231441,0.4482626956853761,0.527521905189845
18,4104,511,4017,0.8892741061755146,0.5053564831917251,0.6444723618090452,18688,9901,11217,0.653677988037357,0.6249122220364488,0.6389715184463365,4570,1687,2578,0.7303819721911459,0.6393396754336877,0.6818351361432302,1229,709,1390,0.6341589267285862,0.46926307751050017,0.5393899495281984
19,4258,533,3863,0.8887497390941348,0.5243196650658786,0.6595415117719949,19236,10389,10669,0.6493164556962026,0.6432369169035278,0.6462623887115739,4710,1820,2438,0.7212863705972435,0.6589255735870173,0.6886971779499927,1282,772,1337,0.6241480038948394,0.48949980908743795,0.548683928953563
20,4368,563,3753,0.8858243763942405,0.5378647949759882,0.6693227091633466,19593,10713,10312,0.6465056424470402,0.6551747199464972,0.6508113135473583,4788,1898,2360,0.7161232425964702,0.6698377168438724,0.6922076044527974,1321,819,1298,0.6172897196261682,0.5043909889270713,0.5551586467745323
21,4557,605,3564,0.8827973653622627,0.5611377909124492,0.6861401791763908,20176,11182,9729,0.6434083806365202,0.6746697876609262,0.6586683642655435,4900,2024,2248,0.707683419988446,0.6855064353665361,0.6964184195565662,1367,884,1252,0.6072856508218569,0.521954944635357,0.5613963039014374
22,4712,647,3409,0.8792685202463146,0.58022411033124,0.6991097922848665,20686,11742,9219,0.6379055137535463,0.6917237920080254,0.6637254744677779,5018,2181,2130,0.6970412557299625,0.7020145495243425,0.6995190632187914,1418,960,1201,0.5962994112699748,0.5414280259641084,0.5675405243145888
23,4893,694,3228,0.875783067836048,0.6025120059106022,0.7138896994455792,21287,12332,8618,0.6331836164073886,0.7118207657582344,0.6702033876959889,5133,2359,2015,0.6851308061932728,0.7181029658645776,0.7012295081967214,1473,1051,1146,0.5835974643423137,0.5624284077892325,0.572817421738285
24,5026,743,3095,0.8712081816605998,0.618889299347371,0.7236861051115911,21776,12936,8129,0.6273334869785665,0.7281725463969236,0.6740021975641086,5250,2529,1898,0.674893945237177,0.7344711807498601,0.7034233268573726,1514,1153,1105,0.567679040119985,0.5780832378770523,0.5728339008702232
25,5155,795,2966,0.8663865546218488,0.6347740426055904,0.7327126714519224,22153,13451,7752,0.6222053701831255,0.740779133924093,0.6763345494512204,5350,2667,1798,0.6673319196706997,0.7484611080022384,0.7055720408836136,1571,1233,1048,0.5602710413694721,0.5998472699503627,0.5793841047390743
