,colocal distance,merfish gene,guidestar gene,colocalisation counts
143,4.0,Ube2z,Ube2z,18650
144,4.5,Acly,Acly,35289
145,4.5,Acly,Gpam,766
146,4.5,Acly,Hnf4a,1594
147,4.5,Acly,Ube2z,2572
148,4.5,Gpam,Acly,1211
149,4.5,Gpam,Gpam,12757
150,4.5,Gpam,Hnf4a,618
151,4.5,Gpam,Ube2z,868
152,4.5,Hnf4a,Acly,2093
153,4.5,Hnf4a,Gpam,465
154,4.5,Hnf4a,Hnf4a,16383
155,4.5,Hnf4a,Ube2z,1255
156,4.5,Ube2z,Acly,2227
157,4.5,Ube2z,Gpam,492
158,4.5,Ube2z,Hnf4a,970
159,4.5,Ube2z,Ube2z,18939
160,5.0,Acly,Acly,35364
161,5.0,Acly,Gpam,948
162,5.0,Acly,Hnf4a,1962
163,5.0,Acly,Ube2z,3121
164,5.0,Gpam,Acly,1426
165,5.0,Gpam,Gpam,12769
166,5.0,Gpam,Hnf4a,741
167,5.0,Gpam,Ube2z,1055
168,5.0,Hnf4a,Acly,2624
169,5.0,Hnf4a,Gpam,569
170,5.0,Hnf4a,Hnf4a,16510
171,5.0,Hnf4a,Ube2z,1561
172,5.0,Ube2z,Acly,2762
173,5.0,Ube2z,Gpam,631
174,5.0,Ube2z,Hnf4a,1185
175,5.0,Ube2z,Ube2z,19050
176,5.5,Acly,Acly,35440
177,5.5,Acly,Gpam,1156
178,5.5,Acly,Hnf4a,2326
179,5.5,Acly,Ube2z,3726
180,5.5,Gpam,Acly,1709
181,5.5,Gpam,Gpam,12795
182,5.5,Gpam,Hnf4a,895
183,5.5,Gpam,Ube2z,1267
184,5.5,Hnf4a,Acly,3185
185,5.5,Hnf4a,Gpam,668
186,5.5,Hnf4a,Hnf4a,16572
187,5.5,Hnf4a,Ube2z,1909
188,5.5,Ube2z,Acly,3306
189,5.5,Ube2z,Gpam,748
190,5.5,Ube2z,Hnf4a,1456
191,5.5,Ube2z,Ube2z,19115
192,6.0,Acly,Acly,35520
193,6.0,Acly,Gpam,1364
194,6.0,Acly,Hnf4a,2734
195,6.0,Acly,Ube2z,4373
196,6.0,Gpam,Acly,1995
197,6.0,Gpam,Gpam,12812
198,6.0,Gpam,Hnf4a,1063
199,6.0,Gpam,Ube2z,1492
200,6.0,Hnf4a,Acly,3699
201,6.0,Hnf4a,Gpam,796
202,6.0,Hnf4a,Hnf4a,16620
203,6.0,Hnf4a,Ube2z,2269
204,6.0,Ube2z,Acly,3910
205,6.0,Ube2z,Gpam,904
206,6.0,Ube2z,Hnf4a,1703
207,6.0,Ube2z,Ube2z,19182
208,6.5,Acly,Acly,35619
209,6.5,Acly,Gpam,1605
210,6.5,Acly,Hnf4a,3202
211,6.5,Acly,Ube2z,5082
212,6.5,Gpam,Acly,2306
213,6.5,Gpam,Gpam,12852
214,6.5,Gpam,Hnf4a,1252
215,6.5,Gpam,Ube2z,1716
216,6.5,Hnf4a,Acly,4217
217,6.5,Hnf4a,Gpam,922
218,6.5,Hnf4a,Hnf4a,16664
219,6.5,Hnf4a,Ube2z,2612
220,6.5,Ube2z,Acly,4489
221,6.5,Ube2z,Gpam,1053
222,6.5,Ube2z,Hnf4a,1957
223,6.5,Ube2z,Ube2z,19252
224,7.0,Acly,Acly,35717
225,7.0,Acly,Gpam,1847
226,7.0,Acly,Hnf4a,3689
227,7.0,Acly,Ube2z,5825
228,7.0,Gpam,Acly,2635
229,7.0,Gpam,Gpam,12872
230,7.0,Gpam,Hnf4a,1418
231,7.0,Gpam,Ube2z,1963
232,7.0,Hnf4a,Acly,4798
233,7.0,Hnf4a,Gpam,1056
234,7.0,Hnf4a,Hnf4a,16713
235,7.0,Hnf4a,Ube2z,2982
236,7.0,Ube2z,Acly,5131
237,7.0,Ube2z,Gpam,1205
238,7.0,Ube2z,Hnf4a,2225
239,7.0,Ube2z,Ube2z,19321
240,7.5,Acly,Acly,35829
241,7.5,Acly,Gpam,2106
242,7.5,Acly,Hnf4a,4179
243,7.5,Acly,Ube2z,6585
244,7.5,Gpam,Acly,2960
245,7.5,Gpam,Gpam,12901
246,7.5,Gpam,Hnf4a,1578
247,7.5,Gpam,Ube2z,2222
248,7.5,Hnf4a,Acly,5350
249,7.5,Hnf4a,Gpam,1191
250,7.5,Hnf4a,Hnf4a,16773
251,7.5,Hnf4a,Ube2z,3379
252,7.5,Ube2z,Acly,5733
253,7.5,Ube2z,Gpam,1373
254,7.5,Ube2z,Hnf4a,2553
255,7.5,Ube2z,Ube2z,19397
256,8.0,Acly,Acly,35921
257,8.0,Acly,Gpam,2393
258,8.0,Acly,Hnf4a,4710
259,8.0,Acly,Ube2z,7376
260,8.0,Gpam,Acly,3298
261,8.0,Gpam,Gpam,12931
262,8.0,Gpam,Hnf4a,1745
263,8.0,Gpam,Ube2z,2472
264,8.0,Hnf4a,Acly,5916
265,8.0,Hnf4a,Gpam,1365
266,8.0,Hnf4a,Hnf4a,16837
267,8.0,Hnf4a,Ube2z,3817
268,8.0,Ube2z,Acly,6367
269,8.0,Ube2z,Gpam,1532
270,8.0,Ube2z,Hnf4a,2816
271,8.0,Ube2z,Ube2z,19479
272,8.5,Acly,Acly,36038
273,8.5,Acly,Gpam,2678
274,8.5,Acly,Hnf4a,5247
275,8.5,Acly,Ube2z,8204
276,8.5,Gpam,Acly,3679
277,8.5,Gpam,Gpam,12966
278,8.5,Gpam,Hnf4a,1968
279,8.5,Gpam,Ube2z,2754
280,8.5,Hnf4a,Acly,6508
281,8.5,Hnf4a,Gpam,1531
282,8.5,Hnf4a,Hnf4a,16893
283,8.5,Hnf4a,Ube2z,4222
284,8.5,Ube2z,Acly,7006
285,8.5,Ube2z,Gpam,1714
286,8.5,Ube2z,Hnf4a,3141
287,8.5,Ube2z,Ube2z,19564
288,9.0,Acly,Acly,36155
289,9.0,Acly,Gpam,2985
290,9.0,Acly,Hnf4a,5782
291,9.0,Acly,Ube2z,8991
292,9.0,Gpam,Acly,4066
293,9.0,Gpam,Gpam,13001
294,9.0,Gpam,Hnf4a,2153
295,9.0,Gpam,Ube2z,3043
296,9.0,Hnf4a,Acly,7090
297,9.0,Hnf4a,Gpam,1734
298,9.0,Hnf4a,Hnf4a,16950
299,9.0,Hnf4a,Ube2z,4640
300,9.0,Ube2z,Acly,7642
301,9.0,Ube2z,Gpam,1902
302,9.0,Ube2z,Hnf4a,3440
303,9.0,Ube2z,Ube2z,19633
304,9.5,Acly,Acly,36294
305,9.5,Acly,Gpam,3341
306,9.5,Acly,Hnf4a,6343
307,9.5,Acly,Ube2z,9830
308,9.5,Gpam,Acly,4423
309,9.5,Gpam,Gpam,13024
310,9.5,Gpam,Hnf4a,2368
311,9.5,Gpam,Ube2z,3332
312,9.5,Hnf4a,Acly,7677
313,9.5,Hnf4a,Gpam,1922
314,9.5,Hnf4a,Hnf4a,17023
315,9.5,Hnf4a,Ube2z,5099
316,9.5,Ube2z,Acly,8287
317,9.5,Ube2z,Gpam,2123
318,9.5,Ube2z,Hnf4a,3793
319,9.5,Ube2z,Ube2z,19733
