,precision_0,precision_1,precision_2,precision_3,precision_4,recall_0,recall_1,recall_2,recall_3,recall_4,f1_0,f1_1,f1_2,f1_3,f1_4,auroc_0,auroc_1,auroc_2,auroc_3,auroc_4,max_depth,n_estimators,criterion,max_samples,min_impurity_decrease,min_weight_fraction_leaf
330,0.9118828932261768,0.9079346726405549,0.8646891210637832,0.8930771725032426,0.8946863468634686,0.9393155443861335,0.9474398612472664,0.9416023550003978,0.9417849204992307,0.941372883988197,0.9253959584926269,0.9272666888077051,0.9015082266910421,0.9167845552134477,0.9174360526714093,0.9253959584926269,0.9272666888077051,0.9015082266910421,0.9167845552134477,0.9174360526714093,12,400,gini,1.0,0.01,0.15
331,0.9118828932261768,0.909348236318769,0.8646891210637832,0.8930771725032426,0.8946863468634686,0.9393155443861335,0.9448005429454792,0.9416023550003978,0.9417849204992307,0.941372883988197,0.9253959584926269,0.9267354561929065,0.9015082266910421,0.9167845552134477,0.9174360526714093,0.9253959584926269,0.9267354561929065,0.9015082266910421,0.9167845552134477,0.9174360526714093,12,400,gini,1.0,0.01,0.175
332,0.9103679406731318,0.9079346726405549,0.770442564668383,0.7907794226999256,0.7950364242499074,0.9436765466775076,0.9474398612472664,1.0,1.0,1.0,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,12,400,gini,1.0,0.1,0.01
333,0.9103679406731318,0.9079346726405549,0.770442564668383,0.7907794226999256,0.7950364242499074,0.9436765466775076,0.9474398612472664,1.0,1.0,1.0,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,12,400,gini,1.0,0.1,0.1
334,0.9103679406731318,0.9079346726405549,0.770442564668383,0.7907794226999256,0.7950364242499074,0.9436765466775076,0.9474398612472664,1.0,1.0,1.0,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,12,400,gini,1.0,0.1,0.15
335,0.9103679406731318,0.9079346726405549,0.770442564668383,0.7907794226999256,0.7950364242499074,0.9436765466775076,0.9474398612472664,1.0,1.0,1.0,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,0.926723042862846,0.9272666888077051,0.8703389537097947,0.8831678683326413,0.8858164809464851,12,400,gini,1.0,0.1,0.175
336,0.917679800790977,0.9136467635987896,0.8732457786116322,0.9005066024416577,0.9046532846715328,0.9261586222189371,0.9334891787949626,0.9257697509746201,0.926910583005642,0.9239012268985868,0.9218997167347239,0.9234613950018651,0.8987410210859658,0.9135178398416108,0.91417595082597,0.9218997167347239,0.9234613950018651,0.8987410210859658,0.9135178398416108,0.91417595082597,12,400,entropy,0.5,0.001,0.01
337,0.917679800790977,0.9136467635987896,0.8729837197089054,0.9002406838741804,0.9034263189812007,0.9261586222189371,0.9334891787949626,0.9257697509746201,0.9272525217985981,0.9254542630843299,0.9218997167347239,0.9234613950018651,0.8986022086647617,0.9135469743546555,0.914307633294975,0.9218997167347239,0.9234613950018651,0.8986022086647617,0.9135469743546555,0.914307633294975,12,400,entropy,0.5,0.001,0.1
338,0.917679800790977,0.9136467635987896,0.8721607890017932,0.9002820640451302,0.9034263189812007,0.9261586222189371,0.9334891787949626,0.9287135014718753,0.9276799452897931,0.9254542630843299,0.9218997167347239,0.9234613950018651,0.8995491850653103,0.9137756820478276,0.914307633294975,0.9218997167347239,0.9234613950018651,0.8995491850653103,0.9137756820478276,0.914307633294975,12,400,entropy,0.5,0.001,0.15
339,0.917679800790977,0.9136950904392764,0.873164519029068,0.9009053908131904,0.9046135137189328,0.9261586222189371,0.9332629515119524,0.9272814066353727,0.9271670371003591,0.9242118341357354,0.9218997167347239,0.9233753637245392,0.8994096538951267,0.913847579727851,0.914307662761667,0.9218997167347239,0.9233753637245392,0.8994096538951267,0.913847579727851,0.914307662761667,12,400,entropy,0.5,0.001,0.175
340,0.9120011484352569,0.9103694527435692,0.8660557184750733,0.8929671041970507,0.8953247521822755,0.9391677137999852,0.9420858155493552,0.9398520168668948,0.9421268592921866,0.9398198478024538,0.9253850915844287,0.9259561221464572,0.9014460681445305,0.9168885191347753,0.9170328837702683,0.9253850915844287,0.9259561221464572,0.9014460681445305,0.9168885191347753,0.9170328837702683,12,400,entropy,0.5,0.01,0.01
341,0.9116002294235733,0.9088998405566024,0.8659680492452001,0.8914972571797354,0.8947290713125646,0.9398329514376524,0.9457054520775205,0.9401702601638953,0.9446914002393572,0.9411399285603355,0.9255013283837391,0.9269374330167411,0.9015449170322334,0.9173238150576908,0.9173478655767484,0.9255013283837391,0.9269374330167411,0.9015449170322334,0.9173238150576908,0.9173478655767484,12,400,entropy,0.5,0.01,0.1
342,0.911579249068501,0.9075878997906288,0.8656421514818881,0.8914972571797354,0.8945776466248617,0.9403503584891714,0.9479677249076238,0.9411249900548969,0.9446914002393572,0.9416058394160584,0.9257413134436966,0.9273384479197404,0.9018068155828314,0.9173238150576908,0.9174895017591648,0.9257413134436966,0.9273384479197404,0.9018068155828314,0.9173238150576908,0.9174895017591648,12,400,entropy,0.5,0.01,0.15
343,0.9118828932261768,0.9105228615182673,0.8659680492452001,0.8930771725032426,0.8966592427616926,0.9393155443861335,0.9415579518889978,0.9401702601638953,0.9417849204992307,0.9378785525702749,0.9253959584926269,0.9257803811077335,0.9015449170322334,0.9167845552134477,0.9168058296644906,0.9253959584926269,0.9257803811077335,0.9015449170322334,0.9167845552134477,0.9168058296644906,12,400,entropy,0.5,0.01,0.175
344,0.9118828932261768,0.909348236318769,0.770442564668383,0.7907794226999256,0.7950364242499074,0.9393155443861335,0.9448005429454792,1.0,1.0,1.0,0.9253959584926269,0.9267354561929065,0.8703389537097947,0.8831678683326413,0.8858164809464851,0.9253959584926269,0.9267354561929065,0.8703389537097947,0.8831678683326413,0.8858164809464851,12,400,entropy,0.5,0.1,0.01
