,combination,combid,number,precision,recall,F1
40,"('Hnf4a', 'Gpam')",4,2,0.944356649754637,0.8392342375637519,0.8886975579211022
41,"('Hnf4a', 'Gpam')",4,2,0.9413278008298755,0.8553653570620617,0.8962901505274388
42,"('Hnf4a', 'Gpam')",4,2,0.8939022396599641,0.8700771739995227,0.8818288110309237
43,"('Hnf4a', 'Gpam')",4,2,0.9205953123607522,0.8830569328090272,0.9014354902046338
44,"('Hnf4a', 'Gpam')",4,2,0.9253335543217038,0.8670601025003882,0.8952495490078173
45,"('Ube2z', 'Gpam')",5,2,0.9276705667831636,0.9025057284352133,0.9149151399348094
46,"('Ube2z', 'Gpam')",5,2,0.92461503102735,0.9101123595505618,0.9173063768336247
47,"('Ube2z', 'Gpam')",5,2,0.8795855717574828,0.9118466067308457,0.8954256025626001
48,"('Ube2z', 'Gpam')",5,2,0.9076936141304348,0.9137459394768337,0.9107097213938826
49,"('Ube2z', 'Gpam')",5,2,0.9158102766798419,0.8995962105917068,0.9076308367282984
50,"('Acly', 'Hnf4a', 'Ube2z')",0,3,0.9224973892287036,0.9141104294478528,0.9182847596064599
51,"('Acly', 'Hnf4a', 'Ube2z')",0,3,0.9176883971291866,0.9256466329839379,0.9216503359987986
52,"('Acly', 'Hnf4a', 'Ube2z')",0,3,0.8688839615668884,0.9353170498846368,0.9008774282539561
53,"('Acly', 'Hnf4a', 'Ube2z')",0,3,0.9030181422957947,0.9233202256796034,0.9130563421953591
54,"('Acly', 'Hnf4a', 'Ube2z')",0,3,0.9044436004557539,0.9246000931821712,0.914410782167953
55,"('Acly', 'Hnf4a', 'Gpam')",1,3,0.920327844642989,0.921280212876044,0.9208037825059102
56,"('Acly', 'Hnf4a', 'Gpam')",1,3,0.9161828197111805,0.9281351330970515,0.9221202472373103
57,"('Acly', 'Hnf4a', 'Gpam')",1,3,0.8732278148676018,0.9261675550958708,0.898918918918919
58,"('Acly', 'Hnf4a', 'Gpam')",1,3,0.9005726616316707,0.9275944605915541,0.9138838590137702
59,"('Acly', 'Hnf4a', 'Gpam')",1,3,0.9043821675400623,0.9246777449914583,0.914417354578614
60,"('Acly', 'Ube2z', 'Gpam')",2,3,0.9115772893248372,0.9410895114199128,0.9260983415769567
