,gene,1,0,type
0,Acly,35199,5182,Merfish
1,Gpam,12747,3866,Merfish
2,Hnf4a,16040,6529,Merfish
3,Ube2z,18650,5400,Merfish
4,Acly,35131,69789,Guidestar
5,Gpam,12661,15968,Guidestar
6,Hnf4a,16005,29591,Guidestar
7,Ube2z,18728,49917,Guidestar
