,fov,model_precision,model_recall,model_f1,model_auroc,bft_precision,bft_recall,bft_f1,bft_auroc
0,0,0.691358024691358,0.6860643185298622,0.6887009992313605,0.8377754788471485,0.7456445993031359,0.327718223583461,0.45531914893617026,0.8121819682866483
1,1,0.4956794972505892,0.839095744680851,0.6232098765432099,0.816692826415533,0.6167315175097277,0.42154255319148937,0.5007898894154819,0.791214321009185
2,2,0.6258823529411764,0.8,0.7023102310231024,0.8454192510453853,0.7636887608069164,0.39849624060150374,0.5237154150197628,0.8197622703974791
3,3,0.7280701754385965,0.800275482093664,0.7624671916010499,0.8642972824922,0.8233532934131736,0.3787878787878788,0.5188679245283019,0.8404016587144698
4,4,0.7871443624868283,0.7669404517453798,0.7769110764430577,0.8631754448842518,0.8812664907651715,0.34291581108829566,0.49371766444937176,0.8543965672578655
5,5,0.6384976525821596,0.7872648335745297,0.7051198963058976,0.8457409090080126,0.7046153846153846,0.3314037626628075,0.4507874015748032,0.8117177434321826
6,6,0.5125,0.754601226993865,0.6104218362282878,0.8515038473536445,0.6127167630057804,0.32515337423312884,0.42484969939879763,0.8364952687948425
7,7,0.5325936199722607,0.8258064516129032,0.6475548060708262,0.8394953115383222,0.6505190311418685,0.4043010752688172,0.4986737400530504,0.8145441873936498
8,8,0.18035714285714285,0.8938053097345132,0.30014858841010406,0.7749400627578182,0.23580786026200873,0.4778761061946903,0.31578947368421056,0.7394889468673977
